trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-144.1788075818496,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-84.05456938479333,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-159.34464238703055,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-102.26034823615961,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,5,-53.25744015644625,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-102.18252932249675,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-110.26795909911161,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-70.11035610897758,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,15,-21.233791847170536,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-134.06452078954925,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,11,-24.624213501646288,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,10,13.854266399376886,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-51.895663922844776,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,11,-38.33442992108064,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,6,-74.45798406322396,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,18,-1.029988429378288,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-43.45448325238194,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,11,-48.60809823253269,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,15,17.58886098585694,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,1,29.27222491186591,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,13,-39.5032517607844,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-64.66729518244097,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,26.343697491315712,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-55.68621573660551,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,5,32.613495845922856,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,17,8.026182650774178,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,11,15.15314555446762,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-65.93009620149125,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,31.50145381506668,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,10,36.40356876484418,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
