trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9999875000260416}",20,0,-176.68646841566874,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.005, 'e': 0.9999500004166653}",20,0,-56.19480917528548,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.005, 'e': 0.9998875021093592}",20,8,-70.60845002427136,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.005, 'e': 0.9998000066665778}",20,0,-150.64201137604334,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.005, 'e': 0.9996875162757026}",30,1,-118.65899161210565,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 1}",1
6,False,"{'a': 0.005, 'e': 0.9995500337489875}",20,0,-94.8038744160452,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.005, 'e': 0.9993875625234886}",20,0,-89.72483806260482,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.005, 'e': 0.9992001066609779}",30,15,-46.64053688362753,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 0}",1
9,False,"{'a': 0.005, 'e': 0.9989876708478425}",20,0,-116.13646041740508,"{0: 8, 1: 1, 2: 10, 3: 1, 4: 0}",0
10,False,"{'a': 0.005, 'e': 0.9987502603949663}",20,0,-129.3713861807004,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.005, 'e': 0.9984878812375985}",25,0,-131.6588334169824,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.005, 'e': 0.9982005399352042}",20,0,-181.2704542485715,"{0: 9, 1: 5, 2: 1, 3: 2, 4: 3}",0
13,False,"{'a': 0.005, 'e': 0.9978882436713011}",25,0,-102.34183798942385,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.005, 'e': 0.9975510002532796}",25,0,-141.5121192628741,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.005, 'e': 0.9971888181122075}",20,5,-69.84941323392,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.005, 'e': 0.9968017063026194}",20,0,-86.85876233817571,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.005, 'e': 0.9963896745022904}",30,1,-195.96567878810825,"{0: 14, 1: 3, 2: 8, 3: 2, 4: 2}",1
18,False,"{'a': 0.005, 'e': 0.9959527330119943}",20,0,-61.05854018860762,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.005, 'e': 0.9954908927552453}",25,0,-203.8654026269962,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
