trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-20,-175.2029857719253,"{0: 24, 1: 4, 2: 9, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-51,-247.01257280395816,"{0: 46, 1: 10, 2: 10, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-100,-511.76517836602324,"{0: 78, 1: 11, 2: 27, 3: 3, 4: 6}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,3,-129.50053332553324,"{0: 7, 1: 1, 2: 6, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,-13,-242.52875690089743,"{0: 22, 1: 4, 2: 12, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,-31,-244.94537377052444,"{0: 29, 1: 5, 2: 11, 3: 4, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,-100,-668.5518526087727,"{0: 64, 1: 20, 2: 28, 3: 6, 4: 7}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,-69,-428.5279337708214,"{0: 53, 1: 12, 2: 19, 3: 7, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,-60,-173.53291724696436,"{0: 58, 1: 7, 2: 11, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,-20,-280.933588404699,"{0: 22, 1: 1, 2: 11, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,-100,-515.9442017402536,"{0: 74, 1: 13, 2: 22, 3: 6, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-100,-504.54982912459167,"{0: 79, 1: 11, 2: 24, 3: 5, 4: 6}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,-100,-282.23317930089763,"{0: 87, 1: 6, 2: 23, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,-100,-675.6172641391037,"{0: 69, 1: 14, 2: 21, 3: 7, 4: 9}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,-17,-314.4133948669678,"{0: 20, 1: 4, 2: 5, 3: 2, 4: 6}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,-100,-758.3063215776992,"{0: 71, 1: 11, 2: 26, 3: 7, 4: 10}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,-35,-395.6731661452267,"{0: 33, 1: 4, 2: 15, 3: 2, 4: 6}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,-21,-290.7900843092938,"{0: 24, 1: 6, 2: 9, 3: 4, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,-87,-584.6403172087674,"{0: 63, 1: 18, 2: 17, 3: 6, 4: 8}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,-100,-840.2952677427006,"{0: 75, 1: 11, 2: 25, 3: 6, 4: 13}",0
1,True,"{'a': 0, 'e': 0}",20,-100,-528.882056875293,"{0: 73, 1: 17, 2: 20, 3: 3, 4: 7}",0
